Gene	Gene_hs	gene_length_hs	exon_length_gencode_v25_hs	Gene_sum_all	Gene_mean_all	Gene_sum0_all	Gene_mean0_all	Gene_var_all	Gene_cv_all
Myoc	MYOC	17267	2095	74	0.007422266800401204	9942	0.9971915747241725	0.04368048472833487	28.158347430697933
Naga	NAGA	12489	3706	1848	0.18535606820461384	8728	0.8754262788365095	0.3458182351246738	3.1726132703073997
Naglu	NAGLU	8278	3004	739	0.07412236710130392	9300	0.9327983951855566	0.08749358719150731	3.990605817098877
Ptch1	PTCH1	74078	16591	316	0.0316950852557673	9708	0.9737211634904714	0.04353338881123257	6.582931159740778
Ndp	NDP	24729	1833	884	0.08866599799398195	9406	0.9434302908726179	0.1919569924539392	4.941341413223591
Nf1	NF1	287190	26685	4965	0.4979939819458375	6682	0.6702106318956871	0.7862834667106948	1.7805963441994614
Npc1	NPC1	80715	10102	15212	1.525777331995988	5108	0.5123370110330993	6.651808127763771	1.6903580192664391
Nphp1	NPHP1	82756	11763	1136	0.11394182547642928	9164	0.9191574724172518	0.20027706753523689	3.9276469140300505
Gpr143	GPR143	60952	2486	13	0.001303911735205617	9958	0.9987963891675025	0.001502964103464974	29.732135957451426
Oat	OAT	21674	3388	10651	1.0683049147442327	5389	0.5405215646940823	2.932138063302154	1.602865131758605
Ocrl	OCRL	52713	5779	4733	0.47472417251755267	7087	0.7108324974924775	0.8717153667844743	1.9667357165781512
Pah	PAH	121526	7731	8	8.024072216649949e-4	9962	0.999197592778335	8.018437899715799e-4	35.289869824468134
Pcca	PCCA	441421	7191	1800	0.18054162487462388	8539	0.856469408224674	0.24446033455970279	2.738588966536313
Pde6b	PDE6B	45199	5086	NA	NA	NA	NA	NA	NA
Pepd	PEPD	134845	4157	6096	0.6114343029087261	6287	0.630591775325978	1.0276553806267836	1.657959624651083
Pex12	PEX12	4069	2861	1163	0.11664994984954864	9159	0.9186559679037112	0.21439824539321647	3.9694108914593302
Pex7	PEX7	91374	1835	2530	0.25376128385155466	8407	0.8432296890672016	0.5252265976382352	2.8559328541640108
Phka2	PHKA2	92299	9029	1434	0.14383149448345034	8811	0.8837512537612838	0.19056531617120395	3.035064583103601
Phkb	PHKB	240401	11822	2385	0.23921765295887662	8112	0.8136409227683049	0.31562502735410564	2.348510420330553
Pkd1	PKD1	47189	18608	4225	0.4237713139418255	7168	0.7189568706118356	0.7158758349479172	1.9965826661451491
Pkp1	PKP1	49542	6211	NA	NA	NA	NA	NA	NA
Plod1	PLOD1	41334	5320	9382	0.9410230692076229	6348	0.6367101303911735	3.123214120242159	1.8780217143792812
Pmm2	PMM2	60509	7645	2495	0.2502507522567703	8096	0.812036108324975	0.37642936835383267	2.4516945285146656
Pou1f1	POU1F1	17184	1569	NA	NA	NA	NA	NA	NA
Pou3f4	POU3F4	3878	3878	1026	0.10290872617853561	9240	0.9267803410230692	0.18802444045950675	4.213615956762057
Ppox	PPOX	11604	4607	671	0.06730190571715146	9560	0.958876629889669	0.16609894886786955	6.055584660473961
Pros1	PROS1	101034	4429	495	0.04964894684052156	9590	0.9618856569709128	0.08189625552351708	5.76397358718747
Pten	PTEN	108818	11662	13917	1.395887662988967	4903	0.4917753259779338	5.1863207336927015	1.6314704670489344
Pth	PTH	4127	953	NA	NA	NA	NA	NA	NA
Pth1r	PTH1R	26054	2758	661	0.0662988966900702	9525	0.9553660982948846	0.1379452732759418	5.602051677535964
Pts	PTS	43591	3130	6358	0.6377131394182548	6539	0.6558676028084253	1.404495923320166	1.8583815117955365
Pex2	PEX2	20787	4969	9848	0.9877632898696088	5380	0.5396188565697091	2.263467461266335	1.5231204395970217
Pex5	PEX5	29890	5488	4508	0.4521564694082247	7411	0.7433299899699097	0.9986637211262638	2.210145612903938
Qdpr	QDPR	51974	3059	61658	6.184353059177533	3290	0.3299899699097292	111.07304233897399	1.7041587887905267
Rb1	RB1	178236	6169	4178	0.41905717151454364	7713	0.7736208625877633	1.0150646140447623	2.404216463450224
Prph2	PRPH2	25975	2976	NA	NA	NA	NA	NA	NA
Rom1	ROM1	3399	2495	519	0.05205616850551655	9626	0.9654964894684052	0.113550290755907	6.473243229543004
Rs1	RS1	32200	3485	NA	NA	NA	NA	NA	NA
Atxn1	ATXN1	462380	16487	6390	0.6409227683049148	7435	0.7457372116349047	2.656686077894633	2.5431057515902307
Scn4a	SCN4A	34365	8247	33	0.0033099297893681044	9943	0.9972918756268806	0.0047036585732722295	20.7204466758383
Sgcd	SGCD	897446	10584	54	0.005416248746238716	9927	0.9956870611835507	0.008798026137797484	17.31785194516678
Slc12a1	SLC12A1	112415	12476	49	0.004914744232698095	9926	0.9955867602808425	0.0058941897414583	15.621082800229079
Slc12a3	SLC12A3	50644	6180	17	0.0017051153460381143	9953	0.9982948846539619	0.0017023786778129553	24.1977130604193
Snca	SNCA	114217	4014	63998	6.4190571715145435	5093	0.5108324974924774	207.81955854523144	2.2458045905292794
Sox9	SOX9	5401	3935	3082	0.3091273821464393	8655	0.8681043129388164	2.261537707716388	4.864793841323935
Sptb	SPTB	133601	14831	2532	0.2539618856569709	8616	0.8641925777331996	0.6577358316297071	3.1934285803891598
Star	STAR	7617	3767	349	0.0350050150451354	9655	0.9684052156469408	0.04642223390001481	6.155066494652969
Abca4	ABCA4	128298	8201	107	0.010732196589769307	9882	0.9911735205616851	0.01784047095645448	12.445562726305766
Tcn2	TCN2	20441	3122	1669	0.16740220661985958	8963	0.8989969909729187	0.399799951564997	3.777114847216524
Tgm1	TGM1	15319	3735	20	0.0020060180541624875	9955	0.9984954864593781	0.004209035975415463	32.341226170658516
Th	TH	7949	3243	15152	1.5197592778335005	9182	0.920962888665998	76.37301709522185	5.750361800949628
Thbd	THBD	4109	4109	283	0.0283851554663992	9807	0.9836509528585757	0.07773768692978322	9.822556370494713
Tnni3	TNNI3	6007	2034	43	0.004312938816449348	9938	0.99679037111334	0.008708450559824724	21.637005128764354
Tpmt	TPMT	26764	3181	2244	0.2250752256770311	8546	0.8571715145436309	0.4629281967680552	3.0229371850329425
Tsc1	TSC1	53286	9911	3830	0.38415245737211634	7260	0.728184553660983	0.5517801272208641	1.9336568761726871
Tshr	TSHR	191314	5754	89	0.00892678034102307	9890	0.9919759277833501	0.010854199673954153	11.670892127921359
Ttr	TTR	7296	2173	19066	1.9123370110330993	9855	0.9884653961885657	7520.528576842978	45.34816859151425
Umps	UMPS	18908	7579	1810	0.1815446339017051	8739	0.8765295887662989	0.33598196535639624	3.192820965419625
Urod	UROD	3429	2908	6371	0.6390170511534604	6508	0.6527582748244735	1.312049590440496	1.7925145032612657
Xdh	XDH	80395	6037	75	0.007522567703109328	9922	0.9951855566700101	0.018300311708523104	17.983041167142805
Aire	AIRE	12811	4678	20	0.0020060180541624875	9957	0.9986960882647944	0.0040084140474387344	31.561050516738703
Apob	APOB	42645	14828	NA	NA	NA	NA	NA	NA
Blmh	BLMH	43862	5127	10354	1.0385155466399199	4549	0.45626880641925777	1.769406162111573	1.2808573518243915
Slc25a20	SLC25A20	42063	1982	1232	0.12357071213640923	8939	0.8965897693079238	0.15926982472143084	3.229618331875983
Casr	CASR	102821	NA	271	0.027181544633901704	9785	0.981444332998997	0.05332869910765499	8.495840732205918
Cdkn1a	CDKN1A	10880	3050	2962	0.2970912738214644	8479	0.8504513540621865	0.9661967746956386	3.3085895661380005
Tpp1	TPP1	6699	4901	6900	0.6920762286860582	6423	0.6442326980942829	1.585783330531267	1.8195667483922555
Ercc2	ERCC2	21082	6450	806	0.08084252758274825	9256	0.9283851554663992	0.09638287920235782	3.840255009283563
Ext2	EXT2	149881	5286	2184	0.21905717151454362	8501	0.8526579739217653	0.41043024750850005	2.9245712344419603
Gale	GALE	5206	3978	608	0.06098294884653962	9446	0.9474423269809429	0.07652947809221626	4.536343731360975
Gm2a	GM2A	58291	4479	4624	0.4637913741223671	7078	0.7099297893681044	0.8874941003167995	2.03123452785552
Gnrhr	GNRHR	15033	2164	NA	NA	NA	NA	NA	NA
Gpd2	GPD2	178446	7155	10451	1.0482447342026078	5616	0.5632898696088264	3.7261304326259954	1.8414771623705097
Guca1a	GUCA1A	24651	2341	35	0.003510531594784353	9942	0.9971915747241725	0.0049029121671363765	19.9459244885133
Hsd17b4	HSD17B4	184757	8231	8147	0.8171514543630892	5332	0.5348044132397192	1.401310773528329	1.448654008534126
Ifngr1	IFNGR1	21966	2571	1554	0.15586760280842527	8750	0.8776328986960883	0.23550825009887724	3.1134880745761375
Il2ra	IL2RA	51637	3176	20	0.0020060180541624875	9950	0.9979939819458375	0.002002194767671457	22.305826698523962
Kel	KEL	21568	3923	NA	NA	NA	NA	NA	NA
Krt17	KRT17	5406	2537	105	0.01053159478435306	9889	0.9918756268806419	0.017042249227369136	12.395650291244856
Ltbp2	LTBP2	114209	9091	75	0.007522567703109328	9919	0.9948846539618856	0.013084141581128177	15.20570330949141
Pafah1b1	PAFAH1B1	92406	8127	31904	3.2	2498	0.2505516549648947	15.254609288795265	1.22053592260077
Mvk	MVK	24863	6473	5484	0.5500501504513541	6727	0.6747241725175527	1.0778939687957443	1.887494666618523
Ncf2	NCF2	35314	2928	216	0.021664994984954864	9790	0.9819458375125376	0.030626979745536135	8.077807377566337
Neu1	NEU1	5248	4822	5004	0.5019057171514544	6775	0.6795386158475426	0.8406524015823174	1.826779318946606
Notch3	NOTCH3	41944	9394	642	0.06439317953861584	9669	0.9698094282848546	0.23860563534318469	7.585784108438907
Oxct1	OXCT1	140455	4194	32054	3.2150451354062186	2872	0.2880641925777332	20.02597484498837	1.3919055254847552
Pcsk1	PCSK1	43729	5307	1127	0.11303911735205617	9290	0.9317953861584755	0.33399587869838826	5.11259977086506
Pde6a	PDE6A	86839	7415	78	0.0078234704112337	9894	0.9923771313941826	0.00816428621806839	11.549406475222593
Plec	PLEC	61588	16991	2941	0.2949849548645938	8225	0.824974924774323	0.627088900365456	2.6845079266818765
Pon2	PON2	30467	3843	7149	0.7170511534603812	7175	0.7196589769307924	2.4597052165625173	2.1872145804720513
Psen2	PSEN2	25922	3752	3713	0.3724172517552658	7734	0.7757271815446339	0.7369058826595143	2.30502808244873
Rag1	RAG1	82448	7815	46	0.004613841524573721	9931	0.9960882647943832	0.005997368170314937	16.784858400698585
Sele	SELE	42065	4585	36	0.0036108324974924774	9944	0.9973921765295888	0.009817435051669203	27.440478230998156
Slc10a2	SLC10A2	22849	3779	NA	NA	NA	NA	NA	NA
Sod1	SOD1	9310	2019	31367	3.146138415245737	3016	0.30250752256770314	18.147665395625136	1.354043310647921
Stk11	STK11	50878	8639	2170	0.2176529588766299	8311	0.8336008024072217	0.3131400420541392	2.5710156914710938
Suox	SUOX	9462	5008	954	0.09568706118355065	9325	0.9353059177532598	0.18183514330734205	4.456415695936429
Hnf4a	HNF4A	78897	7311	NA	NA	NA	NA	NA	NA
Hnf1b	HNF1B	58804	5962	49	0.004914744232698095	9927	0.9956870611835507	0.006696677453365211	16.6505571080745
Tek	TEK	121035	4805	555	0.055667001003009024	9694	0.9723169508525576	0.1791658957210683	7.603785336622525
Thpo	THPO	6210	1915	987	0.09899699097291875	9368	0.9396188565697091	0.2926361691152301	5.464394015886572
Bard1	BARD1	84066	6067	186	0.018655967903711133	9851	0.9880641925777331	0.04338750024775902	11.165149142046014
Twist1	TWIST1	96682	2033	85	0.008525576730190571	9908	0.9937813440320963	0.015475506668465625	14.591457380420731
Nr0b1	NR0B1	5393	2203	27	0.002708124373119358	9949	0.9978936810431294	0.004506658706181742	24.788984106686677
Alb	ALB	24299	3377	NA	NA	NA	NA	NA	NA
Ampd3	AMPD3	199267	6793	1176	0.11795386158475427	9058	0.9085255767301905	0.19653789334700864	3.7584691069860776
Amt	AMT	5976	5746	247	0.02477432296890672	9753	0.978234704112337	0.03098412501019962	7.105061200777416
Aprt	APRT	2606	1803	5700	0.571715145436309	7231	0.7252758274824473	1.5723967971725386	2.1933168642999967
Avp	AVP	2169	619	17565	1.7617853560682046	9593	0.9621865596790371	1304.0589066326274	20.497250514145705
C1qb	C1QB	8777	1601	1571	0.1575727181544634	9737	0.976629889669007	2.3199371310842953	9.666229034693938
Crybb2	CRYBB2	12348	886	NA	NA	NA	NA	NA	NA
F12	F12	7437	2769	58	0.005817452357071214	9920	0.9949849548645938	0.007790409044366523	15.17215585966268
F2	F2	20327	2550	99	0.009929789368104312	9893	0.9922768304914744	0.01585083266652199	12.67902926746189
Fga	FGA	7641	3956	13	0.001303911735205617	9957	0.9986960882647944	0.0013023421754882463	27.67670333340414
Fgg	FGG	8834	3600	292	0.029287863590772317	9739	0.9768304914744232	0.04267709337260453	7.053582063171912
Fshb	FSHB	4246	1944	10	0.0010030090270812437	9964	0.9993981945837512	0.0024064570076967793	48.908485191873076
Gdnf	GDNF	27010	4273	104	0.010431293881644935	9883	0.9912738214643931	0.014335956007253379	11.478235971809301
Hexb	HEXB	82625	5067	4877	0.48916750250752256	7941	0.7964894684052156	4.866017663784815	4.5095088468387745
Kcnj11	KCNJ11	3473	3204	930	0.09327983951855567	9364	0.9392176529588766	0.188709975849909	4.657036473303272
Vldlr	VLDLR	38220	9339	14964	1.500902708124373	4048	0.4060180541624875	3.88509297578763	1.3132522908331574
Mc2r	MC2R	33664	3734	NA	NA	NA	NA	NA	NA
Mpz	MPZ	5238	2154	127	0.012738214643931796	9891	0.9920762286860582	0.03183691912330431	14.007381414334908
Otc	OTC	68906	1585	NA	NA	NA	NA	NA	NA
Pccb	PCCB	87591	7532	4612	0.4625877632898696	7274	0.7295887662988967	0.9257242688040045	2.079920255535081
Pms1	PMS1	93545	5448	869	0.08716148445336008	9343	0.937111334002006	0.1513949914745742	4.464071436372819
Rfxap	RFXAP	9881	2306	2435	0.24423269809428286	8454	0.8479438314944835	0.49797305448293916	2.8893430906011104
Sag	SAG	39240	11885	72	0.007221664994984955	9898	0.992778335005015	0.007170231730400349	11.72544294230947
Sftpb	SFTPB	11428	4110	NA	NA	NA	NA	NA	NA
Smpd1	SMPD1	4568	2750	6344	0.636308926780341	6229	0.6247743229689067	1.1779773466250896	1.7056913748327658
Hnf1a	HNF1A	23970	5028	NA	NA	NA	NA	NA	NA
Trp53	TP53	25772	4576	1577	0.15817452357071213	8645	0.8671013039117352	0.19736771755732643	2.8086752312053767
Tpo	TPO	169489	6841	44	0.0044132397191574725	9933	0.9962888665997994	0.005999179200758057	17.550455772975504
Tsc2	TSC2	41256	11121	4938	0.49528585757271815	7264	0.7285857572718154	1.105855997121669	2.123212006746529
Tshb	TSHB	4486	537	NA	NA	NA	NA	NA	NA
Tyrp1	TYRP1	24852	3741	26	0.002607823470411234	9948	0.9977933801404213	0.0034037713501624337	22.371855192054632
Vhl	VHL	11213	4213	3430	0.3440320962888666	7573	0.7595787362086259	0.5370618828096285	2.13016479706584
